2021-04-29 08:11:49,838 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 35 |k_down_up = 19 |start=1.00000000 |end=|1.01926513|percent = 1.927%
2021-04-29 08:11:57,461 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 36 |k_down_up = 19 |start=1.00000000 |end=|1.02092692|percent = 2.093%
2021-04-29 08:12:05,030 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 37 |k_down_up = 19 |start=1.00000000 |end=|1.02096591|percent = 2.097%
2021-04-29 08:12:12,584 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 38 |k_down_up = 19 |start=1.00000000 |end=|1.02110793|percent = 2.111%
2021-04-29 08:12:20,144 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 39 |k_down_up = 19 |start=1.00000000 |end=|1.01978020|percent = 1.978%
2021-04-29 08:12:27,711 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 40 |k_down_up = 19 |start=1.00000000 |end=|1.01911961|percent = 1.912%
2021-04-29 08:12:35,263 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 41 |k_down_up = 19 |start=1.00000000 |end=|1.01734922|percent = 1.735%
2021-04-29 08:12:42,831 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 42 |k_down_up = 19 |start=1.00000000 |end=|1.01732847|percent = 1.733%
2021-04-29 08:12:50,380 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 43 |k_down_up = 19 |start=1.00000000 |end=|1.01761458|percent = 1.761%
2021-04-29 08:12:57,895 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 44 |k_down_up = 19 |start=1.00000000 |end=|1.01691861|percent = 1.692%
2021-04-29 08:13:05,393 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 45 |k_down_up = 19 |start=1.00000000 |end=|1.01700693|percent = 1.701%
2021-04-29 08:13:12,865 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 46 |k_down_up = 19 |start=1.00000000 |end=|1.01659762|percent = 1.660%
2021-04-29 08:13:20,366 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 47 |k_down_up = 19 |start=1.00000000 |end=|1.01675822|percent = 1.676%
2021-04-29 08:13:27,830 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 48 |k_down_up = 19 |start=1.00000000 |end=|1.01679948|percent = 1.680%
2021-04-29 08:13:35,297 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 49 |k_down_up = 19 |start=1.00000000 |end=|1.01735913|percent = 1.736%
2021-04-29 08:13:44,011 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 50 |k_down_up = 19 |start=1.00000000 |end=|1.01804123|percent = 1.804%
2021-04-29 08:13:51,391 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 51 |k_down_up = 19 |start=1.00000000 |end=|1.01783479|percent = 1.783%
2021-04-29 08:13:58,788 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 52 |k_down_up = 19 |start=1.00000000 |end=|1.01809535|percent = 1.810%
2021-04-29 08:14:06,210 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 53 |k_down_up = 19 |start=1.00000000 |end=|1.01755793|percent = 1.756%
2021-04-29 08:14:23,835 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 54 |k_down_up = 19 |start=1.00000000 |end=|1.01786222|percent = 1.786%
2021-04-29 08:14:56,004 - [WARNING] - (run_bot.py).<module>(134) - |k_price_estimated = 0 |time_start_order = 55 |k_down_up = 19 |start=1.00000000 |end=|1.01762330|percent = 1.762%
